step,Metropolis,Row-Update,Hybrid,reference_energy_per_site
1,-3.09269781,-3.21928611,-3.21959639,-3.21979381
2,-3.12882073,-3.21977600,-3.22025060,-3.21979381
3,-3.15741377,-3.21988065,-3.21991866,-3.21979381
4,-3.18064208,-3.22030985,-3.22004963,-3.21979381
5,-3.19817639,-3.22010116,-3.22046497,-3.21979381
6,-3.20739309,-3.22038743,-3.21966751,-3.21979381
7,-3.21417807,-3.22005718,-3.22003962,-3.21979381
8,-3.21685050,-3.22004730,-3.21975682,-3.21979381
9,-3.21899626,-3.21991533,-3.22050146,-3.21979381
10,-3.21899106,-3.22028089,-3.22052485,-3.21979381
11,-3.21973487,-3.21973573,-3.21981890,-3.21979381
12,-3.22002964,-3.22030742,-3.22008561,-3.21979381
13,-3.21975381,-3.21962523,-3.22019605,-3.21979381
14,-3.22016900,-3.21996359,-3.21999242,-3.21979381
15,-3.21995042,-3.22005226,-3.21965813,-3.21979381
16,-3.22017500,-3.22020955,-3.22034452,-3.21979381
17,-3.22013187,-3.21950461,-3.21999420,-3.21979381
18,-3.21977910,-3.21997466,-3.22036015,-3.21979381
19,-3.21987087,-3.21996792,-3.21969485,-3.21979381
20,-3.22003422,-3.21998005,-3.22045464,-3.21979381
