step,Metropolis,Row-Update,Hybrid,reference_energy_per_site
10,-1.31709666,-1.33660641,-1.33738061,-1.33776327
11,-1.32364148,-1.33685176,-1.33717477,-1.33776327
12,-1.32518079,-1.33683004,-1.33729199,-1.33776327
13,-1.32825378,-1.33666737,-1.33754980,-1.33776327
14,-1.32915100,-1.33680827,-1.33744707,-1.33776327
15,-1.32943311,-1.33673388,-1.33760321,-1.33776327
16,-1.32996331,-1.33690815,-1.33771283,-1.33776327
17,-1.32908331,-1.33692809,-1.33781776,-1.33776327
18,-1.33119692,-1.33694073,-1.33777353,-1.33776327
19,-1.33199268,-1.33689449,-1.33779223,-1.33776327
20,-1.33224675,-1.33687137,-1.33786249,-1.33776327
21,-1.33387826,-1.33706224,-1.33785359,-1.33776327
22,-1.33295783,-1.33698330,-1.33788199,-1.33776327
23,-1.33382467,-1.33726922,-1.33792755,-1.33776327
24,-1.33393910,-1.33706185,-1.33796678,-1.33776327
25,-1.33386549,-1.33734081,-1.33788175,-1.33776327
26,-1.33483658,-1.33721309,-1.33786099,-1.33776327
27,-1.33548143,-1.33737367,-1.33775165,-1.33776327
28,-1.33502732,-1.33739140,-1.33803929,-1.33776327
29,-1.33485660,-1.33733635,-1.33794073,-1.33776327
30,-1.33514944,-1.33742274,-1.33783065,-1.33776327
31,-1.33536115,-1.33749660,-1.33797024,-1.33776327
32,-1.33574119,-1.33745014,-1.33783252,-1.33776327
33,-1.33600721,-1.33750661,-1.33786822,-1.33776327
34,-1.33609159,-1.33734473,-1.33789719,-1.33776327
35,-1.33650836,-1.33725534,-1.33790351,-1.33776327
36,-1.33627494,-1.33733284,-1.33772053,-1.33776327
37,-1.33682752,-1.33743913,-1.33789682,-1.33776327
38,-1.33624737,-1.33753642,-1.33800837,-1.33776327
39,-1.33650953,-1.33747542,-1.33785841,-1.33776327
40,-1.33681399,-1.33737185,-1.33781654,-1.33776327
41,-1.33636994,-1.33744957,-1.33800282,-1.33776327
42,-1.33674720,-1.33763377,-1.33783236,-1.33776327
43,-1.33668570,-1.33733454,-1.33776914,-1.33776327
44,-1.33672018,-1.33763820,-1.33769898,-1.33776327
45,-1.33674596,-1.33773383,-1.33775019,-1.33776327
46,-1.33654417,-1.33763370,-1.33784900,-1.33776327
47,-1.33636666,-1.33767856,-1.33793405,-1.33776327
48,-1.33620367,-1.33765261,-1.33775449,-1.33776327
49,-1.33665038,-1.33769780,-1.33783770,-1.33776327
50,-1.33623726,-1.33773631,-1.33780879,-1.33776327
51,-1.33641050,-1.33763065,-1.33795955,-1.33776327
52,-1.33643222,-1.33779040,-1.33792474,-1.33776327
53,-1.33644757,-1.33769569,-1.33779909,-1.33776327
54,-1.33645463,-1.33762855,-1.33789163,-1.33776327
55,-1.33668567,-1.33772412,-1.33797789,-1.33776327
56,-1.33658144,-1.33782807,-1.33776305,-1.33776327
57,-1.33659622,-1.33765154,-1.33777914,-1.33776327
58,-1.33667386,-1.33767944,-1.33793195,-1.33776327
59,-1.33687319,-1.33776033,-1.33798049,-1.33776327
60,-1.33679754,-1.33776509,-1.33792529,-1.33776327
61,-1.33700713,-1.33769675,-1.33796124,-1.33776327
62,-1.33702678,-1.33775252,-1.33802829,-1.33776327
63,-1.33664289,-1.33758716,-1.33800456,-1.33776327
64,-1.33670008,-1.33765834,-1.33804620,-1.33776327
65,-1.33657542,-1.33751197,-1.33799889,-1.33776327
66,-1.33671691,-1.33763993,-1.33798625,-1.33776327
67,-1.33669611,-1.33759145,-1.33792895,-1.33776327
68,-1.33717527,-1.33768426,-1.33804308,-1.33776327
69,-1.33696651,-1.33782401,-1.33788184,-1.33776327
70,-1.33685171,-1.33785957,-1.33793915,-1.33776327
71,-1.33686063,-1.33778123,-1.33806879,-1.33776327
72,-1.33707111,-1.33783910,-1.33799159,-1.33776327
73,-1.33742255,-1.33787059,-1.33798301,-1.33776327
74,-1.33698852,-1.33780971,-1.33797041,-1.33776327
75,-1.33750499,-1.33789764,-1.33796178,-1.33776327
76,-1.33721962,-1.33782117,-1.33798348,-1.33776327
77,-1.33721755,-1.33788257,-1.33804184,-1.33776327
78,-1.33730124,-1.33780586,-1.33799407,-1.33776327
79,-1.33707652,-1.33785534,-1.33793807,-1.33776327
80,-1.33725123,-1.33796617,-1.33790454,-1.33776327
81,-1.33743830,-1.33791211,-1.33801017,-1.33776327
82,-1.33718347,-1.33790813,-1.33804176,-1.33776327
83,-1.33717419,-1.33799116,-1.33804652,-1.33776327
84,-1.33733303,-1.33803171,-1.33807611,-1.33776327
85,-1.33740710,-1.33793929,-1.33795392,-1.33776327
86,-1.33733891,-1.33787751,-1.33792077,-1.33776327
87,-1.33753823,-1.33796765,-1.33790919,-1.33776327
88,-1.33753363,-1.33800058,-1.33799014,-1.33776327
89,-1.33756433,-1.33802183,-1.33798383,-1.33776327
90,-1.33737072,-1.33799150,-1.33801336,-1.33776327
91,-1.33760352,-1.33801933,-1.33789280,-1.33776327
92,-1.33730025,-1.33805136,-1.33802017,-1.33776327
93,-1.33748436,-1.33799090,-1.33797051,-1.33776327
94,-1.33742414,-1.33802863,-1.33790669,-1.33776327
95,-1.33739554,-1.33799910,-1.33799842,-1.33776327
96,-1.33748659,-1.33803623,-1.33803245,-1.33776327
97,-1.33746853,-1.33805621,-1.33792010,-1.33776327
98,-1.33728392,-1.33804450,-1.33796556,-1.33776327
99,-1.33740776,-1.33800840,-1.33791812,-1.33776327
100,-1.33746851,-1.33794769,-1.33796635,-1.33776327
