step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
100,Metropolis,metropolis,-1.32893717,6.11696285e-04,100
100,Row-Update,mps2,-1.32986298,4.76049044e-04,100
100,Hybrid,mixture2,-1.33099658,3.16890731e-04,100
101,Metropolis,metropolis,-1.32911381,6.08322185e-04,100
101,Row-Update,mps2,-1.32990602,4.68993956e-04,100
101,Hybrid,mixture2,-1.33109957,3.12295618e-04,100
102,Metropolis,metropolis,-1.32912938,6.15336170e-04,100
102,Row-Update,mps2,-1.33011869,4.59141044e-04,100
102,Hybrid,mixture2,-1.33127014,3.12749124e-04,100
103,Metropolis,metropolis,-1.32918094,6.07173128e-04,100
103,Row-Update,mps2,-1.33021466,4.53384877e-04,100
103,Hybrid,mixture2,-1.33123267,3.12547709e-04,100
104,Metropolis,metropolis,-1.32930261,6.09046143e-04,100
104,Row-Update,mps2,-1.33022086,4.48868770e-04,100
104,Hybrid,mixture2,-1.33139960,2.83591195e-04,100
105,Metropolis,metropolis,-1.32932498,6.05287882e-04,100
105,Row-Update,mps2,-1.33038932,4.39068576e-04,100
105,Hybrid,mixture2,-1.33146233,2.80912610e-04,100
106,Metropolis,metropolis,-1.32948709,5.89284184e-04,100
106,Row-Update,mps2,-1.33055162,4.29129996e-04,100
106,Hybrid,mixture2,-1.33158128,2.82745566e-04,100
107,Metropolis,metropolis,-1.32965735,5.83956667e-04,100
107,Row-Update,mps2,-1.33066891,4.22426916e-04,100
107,Hybrid,mixture2,-1.33166267,2.69898873e-04,100
108,Metropolis,metropolis,-1.32972133,5.78198406e-04,100
108,Row-Update,mps2,-1.33076048,4.12288436e-04,100
108,Hybrid,mixture2,-1.33175710,2.75234706e-04,100
109,Metropolis,metropolis,-1.32991895,5.72506845e-04,100
109,Row-Update,mps2,-1.33083212,4.25916678e-04,100
109,Hybrid,mixture2,-1.33187488,2.69130009e-04,100
110,Metropolis,metropolis,-1.33004064,5.67280098e-04,100
110,Row-Update,mps2,-1.33080626,4.16398193e-04,100
110,Hybrid,mixture2,-1.33189213,2.69756520e-04,100
111,Metropolis,metropolis,-1.32998510,5.81047232e-04,100
111,Row-Update,mps2,-1.33101275,3.90146977e-04,100
111,Hybrid,mixture2,-1.33199240,2.63958608e-04,100
112,Metropolis,metropolis,-1.33011325,5.66827651e-04,100
112,Row-Update,mps2,-1.33107130,3.94009935e-04,100
112,Hybrid,mixture2,-1.33201292,2.57524553e-04,100
113,Metropolis,metropolis,-1.33016068,5.84988420e-04,100
113,Row-Update,mps2,-1.33118048,3.85026098e-04,100
113,Hybrid,mixture2,-1.33217415,2.35574328e-04,100
114,Metropolis,metropolis,-1.33016701,6.00645296e-04,100
114,Row-Update,mps2,-1.33126507,3.74115666e-04,100
114,Hybrid,mixture2,-1.33226331,2.30676887e-04,100
115,Metropolis,metropolis,-1.33042736,5.73089678e-04,100
115,Row-Update,mps2,-1.33134508,3.67222099e-04,100
115,Hybrid,mixture2,-1.33233752,2.16610327e-04,100
116,Metropolis,metropolis,-1.33056393,5.64924365e-04,100
116,Row-Update,mps2,-1.33138329,3.63025967e-04,100
116,Hybrid,mixture2,-1.33231023,2.28451471e-04,100
117,Metropolis,metropolis,-1.33056242,5.68138439e-04,100
117,Row-Update,mps2,-1.33145370,3.61099305e-04,100
117,Hybrid,mixture2,-1.33243770,2.34128587e-04,100
118,Metropolis,metropolis,-1.33061122,5.60615415e-04,100
118,Row-Update,mps2,-1.33153044,3.47485564e-04,100
118,Hybrid,mixture2,-1.33251593,2.11573718e-04,100
119,Metropolis,metropolis,-1.33075868,5.58085410e-04,100
119,Row-Update,mps2,-1.33153010,3.46316258e-04,100
119,Hybrid,mixture2,-1.33249053,2.20807543e-04,100
120,Metropolis,metropolis,-1.33084731,5.46817365e-04,100
120,Row-Update,mps2,-1.33167172,3.52397935e-04,100
120,Hybrid,mixture2,-1.33258704,2.11847490e-04,100
121,Metropolis,metropolis,-1.33087616,5.39083968e-04,100
121,Row-Update,mps2,-1.33176458,3.33789993e-04,100
121,Hybrid,mixture2,-1.33267721,2.04466708e-04,100
122,Metropolis,metropolis,-1.33098277,5.35927481e-04,100
122,Row-Update,mps2,-1.33178792,3.49926410e-04,100
122,Hybrid,mixture2,-1.33270449,2.21581631e-04,100
123,Metropolis,metropolis,-1.33100774,5.37154347e-04,100
123,Row-Update,mps2,-1.33189228,3.34188724e-04,100
123,Hybrid,mixture2,-1.33283938,2.01454714e-04,100
124,Metropolis,metropolis,-1.33105832,5.41929759e-04,100
124,Row-Update,mps2,-1.33197865,3.35972362e-04,100
124,Hybrid,mixture2,-1.33287021,2.05798626e-04,100
125,Metropolis,metropolis,-1.33109331,5.33620958e-04,100
125,Row-Update,mps2,-1.33206015,3.19052746e-04,100
125,Hybrid,mixture2,-1.33289543,2.05435195e-04,100
126,Metropolis,metropolis,-1.33121625,5.20889117e-04,100
126,Row-Update,mps2,-1.33215963,3.19454520e-04,100
126,Hybrid,mixture2,-1.33297702,2.07177420e-04,100
127,Metropolis,metropolis,-1.33128810,5.20641791e-04,100
127,Row-Update,mps2,-1.33222638,3.06247242e-04,100
127,Hybrid,mixture2,-1.33303149,1.88861481e-04,100
128,Metropolis,metropolis,-1.33141139,5.15826320e-04,100
128,Row-Update,mps2,-1.33229506,3.00923783e-04,100
128,Hybrid,mixture2,-1.33309562,1.92041687e-04,100
