step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
100,Metropolis,metropolis,-1.37901008,2.28249966e-03,20
100,Row-Update,mps,-1.38321589,2.12965786e-03,20
100,Hybrid,mixture,-1.38728193,1.95844261e-03,20
101,Metropolis,metropolis,-1.37912166,2.28319288e-03,20
101,Row-Update,mps,-1.38345537,2.09969790e-03,20
101,Hybrid,mixture,-1.38737955,1.95102041e-03,20
102,Metropolis,metropolis,-1.37925081,2.29077716e-03,20
102,Row-Update,mps,-1.38354013,2.10016939e-03,20
102,Hybrid,mixture,-1.38748898,1.96151126e-03,20
103,Metropolis,metropolis,-1.37932569,2.29863853e-03,20
103,Row-Update,mps,-1.38365908,2.10910030e-03,20
103,Hybrid,mixture,-1.38761663,1.96258503e-03,20
104,Metropolis,metropolis,-1.37935866,2.30349699e-03,20
104,Row-Update,mps,-1.38395298,2.09783718e-03,20
104,Hybrid,mixture,-1.38777783,1.95383572e-03,20
105,Metropolis,metropolis,-1.37944593,2.30996070e-03,20
105,Row-Update,mps,-1.38415305,2.07847993e-03,20
105,Hybrid,mixture,-1.38766464,1.97720728e-03,20
106,Metropolis,metropolis,-1.37958300,2.30530137e-03,20
106,Row-Update,mps,-1.38439275,2.07607118e-03,20
106,Hybrid,mixture,-1.38784317,1.97439459e-03,20
107,Metropolis,metropolis,-1.37977115,2.33578877e-03,20
107,Row-Update,mps,-1.38457762,2.06228729e-03,20
107,Hybrid,mixture,-1.38807997,1.94741906e-03,20
108,Metropolis,metropolis,-1.37972301,2.32131377e-03,20
108,Row-Update,mps,-1.38482989,2.03505149e-03,20
108,Hybrid,mixture,-1.38820006,1.93090600e-03,20
109,Metropolis,metropolis,-1.37993757,2.33641999e-03,20
109,Row-Update,mps,-1.38507225,2.03647081e-03,20
109,Hybrid,mixture,-1.38818911,1.94232088e-03,20
110,Metropolis,metropolis,-1.38002931,2.35532220e-03,20
110,Row-Update,mps,-1.38532397,2.02333708e-03,20
110,Hybrid,mixture,-1.38833601,1.94171454e-03,20
111,Metropolis,metropolis,-1.38020448,2.36683516e-03,20
111,Row-Update,mps,-1.38557903,2.03275726e-03,20
111,Hybrid,mixture,-1.38839737,1.93112315e-03,20
112,Metropolis,metropolis,-1.38037616,2.39408006e-03,20
112,Row-Update,mps,-1.38575935,2.02591707e-03,20
112,Hybrid,mixture,-1.38848326,1.92665239e-03,20
113,Metropolis,metropolis,-1.38047529,2.40156057e-03,20
113,Row-Update,mps,-1.38589682,2.01481082e-03,20
113,Hybrid,mixture,-1.38855704,1.92014678e-03,20
114,Metropolis,metropolis,-1.38053319,2.40936766e-03,20
114,Row-Update,mps,-1.38610239,2.01401911e-03,20
114,Hybrid,mixture,-1.38866368,1.91850151e-03,20
115,Metropolis,metropolis,-1.38067329,2.40444332e-03,20
115,Row-Update,mps,-1.38626565,2.00077741e-03,20
115,Hybrid,mixture,-1.38883999,1.89981781e-03,20
116,Metropolis,metropolis,-1.38076021,2.41239257e-03,20
116,Row-Update,mps,-1.38640082,1.99622203e-03,20
116,Hybrid,mixture,-1.38874434,1.91104745e-03,20
117,Metropolis,metropolis,-1.38091015,2.42140395e-03,20
117,Row-Update,mps,-1.38643193,2.01348212e-03,20
117,Hybrid,mixture,-1.38876209,1.90917003e-03,20
118,Metropolis,metropolis,-1.38093864,2.42015410e-03,20
118,Row-Update,mps,-1.38655888,2.01172700e-03,20
118,Hybrid,mixture,-1.38898589,1.88932559e-03,20
119,Metropolis,metropolis,-1.38111976,2.44035449e-03,20
119,Row-Update,mps,-1.38667301,2.00941527e-03,20
119,Hybrid,mixture,-1.38900152,1.90631333e-03,20
120,Metropolis,metropolis,-1.38112810,2.43791123e-03,20
120,Row-Update,mps,-1.38673975,2.00546871e-03,20
120,Hybrid,mixture,-1.38908684,1.88303839e-03,20
121,Metropolis,metropolis,-1.38119582,2.43695553e-03,20
121,Row-Update,mps,-1.38679682,2.02214632e-03,20
121,Hybrid,mixture,-1.38920892,1.87369528e-03,20
122,Metropolis,metropolis,-1.38131989,2.44643213e-03,20
122,Row-Update,mps,-1.38697395,2.02418788e-03,20
122,Hybrid,mixture,-1.38933207,1.88347530e-03,20
123,Metropolis,metropolis,-1.38142288,2.46250118e-03,20
123,Row-Update,mps,-1.38695441,2.03332498e-03,20
123,Hybrid,mixture,-1.38945976,1.87089736e-03,20
