seed,method,source_method,final_energy_per_site,within_run_variance
1,Metropolis,metropolis,-1.33804367,1.353e-05
2,Metropolis,metropolis,-1.33806312,2.582e-05
3,Metropolis,metropolis,-1.33807084,1.248e-05
4,Metropolis,metropolis,-1.33806807,1.408e-05
5,Metropolis,metropolis,-1.33578608,5.331e-05
6,Metropolis,metropolis,-1.33806402,1.314e-05
7,Metropolis,metropolis,-1.33805936,1.09e-05
8,Metropolis,metropolis,-1.33805341,1.824e-05
9,Metropolis,metropolis,-1.33808353,2.629e-05
10,Metropolis,metropolis,-1.33802956,3.059e-05
11,Metropolis,metropolis,-1.33595456,8.38e-06
12,Metropolis,metropolis,-1.33595554,1.659e-05
13,Metropolis,metropolis,-1.33806256,1.1e-05
14,Metropolis,metropolis,-1.33805753,1.044e-05
16,Metropolis,metropolis,-1.33807144,1.718e-05
17,Metropolis,metropolis,-1.33804925,1.744e-05
18,Metropolis,metropolis,-1.33593974,1.177e-05
19,Metropolis,metropolis,-1.33572256,1.119e-05
20,Metropolis,metropolis,-1.33594964,1.271e-05
21,Metropolis,metropolis,-1.33803797,1.183e-05
22,Metropolis,metropolis,-1.33806568,1.247e-05
23,Metropolis,metropolis,-1.33804923,9.34e-06
24,Metropolis,metropolis,-1.3380489,1.204e-05
25,Metropolis,metropolis,-1.33806182,1.836e-05
26,Metropolis,metropolis,-1.33507418,4.158e-05
27,Metropolis,metropolis,-1.33804704,7.5e-06
28,Metropolis,metropolis,-1.33802981,6.75e-06
29,Metropolis,metropolis,-1.33803129,1.814e-05
30,Metropolis,metropolis,-1.33801157,4.617e-05
31,Metropolis,metropolis,-1.33596751,6.89e-06
32,Metropolis,metropolis,-1.33803493,1.525e-05
33,Metropolis,metropolis,-1.33806304,9.43e-06
34,Metropolis,metropolis,-1.33598263,4.072e-05
35,Metropolis,metropolis,-1.33803507,2.286e-05
36,Metropolis,metropolis,-1.33800774,2.718e-05
38,Metropolis,metropolis,-1.33595351,1.095e-05
39,Metropolis,metropolis,-1.33803964,9.16e-06
40,Metropolis,metropolis,-1.33749612,1.233e-05
41,Metropolis,metropolis,-1.33807088,1.814e-05
42,Metropolis,metropolis,-1.33504617,7.2e-06
43,Metropolis,metropolis,-1.33805159,1.126e-05
44,Metropolis,metropolis,-1.33802073,1.445e-05
45,Metropolis,metropolis,-1.33806802,1.913e-05
46,Metropolis,metropolis,-1.33422994,1.315e-05
47,Metropolis,metropolis,-1.33805626,1.168e-05
48,Metropolis,metropolis,-1.33502139,0.00010047
49,Metropolis,metropolis,-1.33460901,6.56e-06
50,Metropolis,metropolis,-1.33808435,3.05e-05
51,Metropolis,metropolis,-1.33747924,9.81e-06
52,Metropolis,metropolis,-1.33747446,6.922e-05
53,Metropolis,metropolis,-1.33805734,2.358e-05
