seed,method,source_method,final_energy_per_site,within_run_variance
1,Metropolis,metropolis,-1.39817776,5.73e-06
2,Metropolis,metropolis,-1.40236409,5.06e-06
3,Metropolis,metropolis,-1.39360842,7.1e-06
4,Metropolis,metropolis,-1.39508671,1.874e-05
5,Metropolis,metropolis,-1.37945792,7.93e-06
6,Metropolis,metropolis,-1.40280362,1.103e-05
7,Metropolis,metropolis,-1.38639346,7.54e-06
8,Metropolis,metropolis,-1.38613,9.01e-06
9,Metropolis,metropolis,-1.39632588,1.073e-05
10,Metropolis,metropolis,-1.37507702,1.023e-05
11,Metropolis,metropolis,-1.37763471,1.165e-05
12,Metropolis,metropolis,-1.40757679,6.18e-06
13,Metropolis,metropolis,-1.40130213,1.409e-05
14,Metropolis,metropolis,-1.40454264,5.58e-06
15,Metropolis,metropolis,-1.38879057,1.596e-05
16,Metropolis,metropolis,-1.40176061,9e-06
17,Metropolis,metropolis,-1.38477509,1.454e-05
18,Metropolis,metropolis,-1.36958932,9.18e-06
19,Metropolis,metropolis,-1.38150322,7.47e-06
20,Metropolis,metropolis,-1.39622729,9.42e-06
1,Row-Update,mps,-1.39209167,1.135e-05
2,Row-Update,mps,-1.38603184,1.547e-05
3,Row-Update,mps,-1.40145926,7.13e-06
4,Row-Update,mps,-1.39072691,1.406e-05
5,Row-Update,mps,-1.39620567,1.216e-05
6,Row-Update,mps,-1.39807365,1.234e-05
7,Row-Update,mps,-1.40702373,1.036e-05
8,Row-Update,mps,-1.39913628,1.677e-05
9,Row-Update,mps,-1.4058643,1.535e-05
10,Row-Update,mps,-1.3990288,1.754e-05
11,Row-Update,mps,-1.39669264,1.601e-05
12,Row-Update,mps,-1.39848003,1.043e-05
13,Row-Update,mps,-1.401348,9.72e-06
14,Row-Update,mps,-1.40636626,1.189e-05
15,Row-Update,mps,-1.39366644,1.387e-05
16,Row-Update,mps,-1.39924779,9.76e-06
17,Row-Update,mps,-1.39561149,1.652e-05
18,Row-Update,mps,-1.39491757,1.329e-05
19,Row-Update,mps,-1.38278633,1.282e-05
20,Row-Update,mps,-1.40608425,7.53e-06
1,Hybrid,mixture,-1.39623897,8.85e-06
2,Hybrid,mixture,-1.40946905,5.362e-05
3,Hybrid,mixture,-1.39345775,1.953e-05
4,Hybrid,mixture,-1.3906259,9.413e-05
5,Hybrid,mixture,-1.40469943,1.338e-05
6,Hybrid,mixture,-1.3883528,1.113e-05
7,Hybrid,mixture,-1.40120043,8.38e-06
8,Hybrid,mixture,-1.39913203,1.163e-05
9,Hybrid,mixture,-1.38704913,1.327e-05
10,Hybrid,mixture,-1.40094624,1.177e-05
11,Hybrid,mixture,-1.39576828,1.158e-05
12,Hybrid,mixture,-1.40575878,2.54e-05
13,Hybrid,mixture,-1.40612533,3.381e-05
14,Hybrid,mixture,-1.40649769,1.324e-05
15,Hybrid,mixture,-1.4009879,1.34e-05
16,Hybrid,mixture,-1.39859629,1.582e-05
17,Hybrid,mixture,-1.40457703,7.13e-06
18,Hybrid,mixture,-1.39393243,1.104e-05
19,Hybrid,mixture,-1.38733233,9.42e-06
20,Hybrid,mixture,-1.39732729,1.252e-05
